name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Provincia di Campobasso,01/05/2021 09:00:00 AM,,centro_sud,76,broken clouds,1011,57,293.06,0.0,0.0,223,3.86
Trento,01/05/2021 09:00:00 AM,,nord,29,scattered clouds,1011,82,288.75,0.12,0.0,22,0.59
Florence,01/05/2021 09:00:00 AM,,centro_nord,100,overcast clouds,1010,77,289.26,0.0,0.0,125,0.53
Province of Turin,01/05/2021 09:00:00 AM,,nord,97,overcast clouds,1011,87,282.29,0.0,0.0,145,0.22
Naples,01/05/2021 09:00:00 AM,,sud,100,light rain,1013,65,292.16,0.27,0.0,130,4.21
Rome,01/05/2021 09:00:00 AM,,centro_sud,100,overcast clouds,1011,67,291.01,0.0,0.0,124,1.53
Sardinia,01/05/2021 09:00:00 AM,,sardegna,100,overcast clouds,1010,80,288.79,0.13,0.0,184,2.11
Province of Palermo,01/05/2021 09:00:00 AM,,sicilia,100,overcast clouds,1013,53,293.86,0.0,0.0,319,1.66
Venice,01/05/2021 09:00:00 AM,,nord,100,overcast clouds,1010,86,289.03,0.31,0.0,48,3.94
Provincia di Ancona,01/05/2021 10:00:00 AM,,centro_nord,100,overcast clouds,1010,78,289.89,0.0,0.0,334,0.47
Florence,01/05/2021 10:00:00 AM,,centro_nord,100,overcast clouds,1011,72,290.71,0.0,0.0,211,0.51
Trieste,01/05/2021 10:00:00 AM,,nord,100,overcast clouds,1011,75,291.79,0.24,0.0,171,0.96
L'Aquila,01/05/2021 10:00:00 AM,,centro_sud,100,overcast clouds,1012,69,289.5,0.0,0.0,196,2.69
Valle d'Aosta,01/05/2021 10:00:00 AM,,nord,91,light rain,1010,88,277.72,0.47,0.0,111,1.85
Province of Palermo,01/05/2021 10:00:00 AM,,sicilia,100,overcast clouds,1011,55,294.1,0.0,0.0,68,2.34
Provincia di Campobasso,01/05/2021 10:00:00 AM,,centro_sud,88,light rain,1012,65,292.21,0.19,0.0,230,5.33
Bari,01/05/2021 10:00:00 AM,,sud,100,overcast clouds,1011,61,293.5,0.0,0.0,306,1.7
