name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Potenza,27/04/2021 00:30:08 AM,26/04/2021 22:30 PM,sud,91,overcast clouds,1013,82,8.89,0,0,248,0.45
Province of Palermo,27/04/2021 00:30:08 AM,26/04/2021 22:30 PM,sicilia,99,overcast clouds,1006,56,15.93,0,0,68,1.79
Sardinia,27/04/2021 00:30:09 AM,26/04/2021 22:30 PM,sardegna,90,overcast clouds,1006,94,16.0,0,0,240,1.54
Catanzaro,27/04/2021 00:30:09 AM,26/04/2021 22:30 PM,calabria,86,overcast clouds,1010,82,12.81,0,0,80,10.29
Valle d'Aosta,27/04/2021 00:45:09 AM,26/04/2021 22:45 PM,nord,100,overcast clouds,1004,79,6.41,0,0,135,0.89
Provincia di Genova,27/04/2021 00:45:09 AM,26/04/2021 22:45 PM,nord,100,overcast clouds,1009,83,12.48,0,0,54,0.89
Province of Turin,27/04/2021 00:45:10 AM,26/04/2021 22:45 PM,nord,100,light rain,1008,93,9.08,{'1h': 0.75},0,319,0.51
Milan,27/04/2021 00:42:44 AM,26/04/2021 22:45 PM,nord,75,light rain,1012,87,11.72,{'1h': 0.15},0,110,3.09
Trento,27/04/2021 00:45:10 AM,26/04/2021 22:45 PM,nord,90,fog,1012,100,7.11,0,0,190,3.09
Venice,27/04/2021 00:43:37 AM,26/04/2021 22:45 PM,nord,40,scattered clouds,1012,82,11.65,0,0,20,3.09
Bologna,27/04/2021 00:45:10 AM,26/04/2021 22:45 PM,nord,75,broken clouds,1011,87,12.36,0,0,50,2.57
Trieste,27/04/2021 00:45:11 AM,26/04/2021 22:45 PM,nord,75,broken clouds,1012,87,11.75,0,0,110,1.54
Provincia di Perugia,27/04/2021 00:45:11 AM,26/04/2021 22:45 PM,centro_nord,75,broken clouds,1008,62,12.89,0,0,350,3.09
Florence,27/04/2021 00:45:01 AM,26/04/2021 22:45 PM,centro_nord,75,broken clouds,1009,88,12.78,0,0,310,1.03
Provincia di Ancona,27/04/2021 00:45:11 AM,26/04/2021 22:45 PM,centro_nord,75,broken clouds,1011,88,13.51,0,0,0,1.03
L'Aquila,27/04/2021 00:45:12 AM,26/04/2021 22:45 PM,centro_sud,99,overcast clouds,1013,52,8.5,0,0,70,1.54
