Date,DayName,Month,Holiday
2021-02-19,Friday,February,no
2021-02-20,Saturday,February,half
2021-02-21,Sunday,February,yes
2021-02-22,Monday,February,no
2021-02-23,Tuesday,February,no
2021-02-24,Wednesday,February,no
2021-02-25,Thursday,February,no
2021-02-26,Friday,February,no
2021-02-27,Saturday,February,half
2021-02-28,Sunday,February,yes
2021-03-01,Monday,March,no
2021-03-02,Tuesday,March,no
2021-03-03,Wednesday,March,no
2021-03-04,Thursday,March,no
2021-03-05,Friday,March,no
2021-03-06,Saturday,March,half
2021-03-07,Sunday,March,yes
2021-03-08,Monday,March,no
2021-03-09,Tuesday,March,no
2021-03-10,Wednesday,March,no
2021-03-11,Thursday,March,no
2021-03-12,Friday,March,no
2021-03-13,Saturday,March,half
2021-03-14,Sunday,March,yes
2021-03-15,Monday,March,no
2021-03-16,Tuesday,March,no
2021-03-17,Wednesday,March,no
2021-03-18,Thursday,March,no
2021-03-19,Friday,March,no
2021-03-20,Saturday,March,half
2021-03-21,Sunday,March,yes
2021-03-22,Monday,March,no
2021-03-23,Tuesday,March,no
2021-03-24,Wednesday,March,no
2021-03-25,Thursday,March,no
2021-03-26,Friday,March,no
2021-03-27,Saturday,March,half
2021-03-28,Sunday,March,yes
2021-03-29,Monday,March,no
2021-03-30,Tuesday,March,no
2021-03-31,Wednesday,March,no
2021-04-01,Thursday,April,no
2021-04-02,Friday,April,no
2021-04-03,Saturday,April,half
2021-04-04,Sunday,April,yes
2021-04-05,Monday,April,no
2021-04-06,Tuesday,April,no
2021-04-07,Wednesday,April,no
2021-04-08,Thursday,April,no
2021-04-09,Friday,April,no
2021-04-10,Saturday,April,half
2021-04-11,Sunday,April,yes
2021-04-12,Monday,April,no
2021-04-13,Tuesday,April,no
2021-04-14,Wednesday,April,no
2021-04-15,Thursday,April,no
2021-04-16,Friday,April,no
2021-04-17,Saturday,April,half
2021-04-18,Sunday,April,yes
2021-04-19,Monday,April,no
2021-04-20,Tuesday,April,no
2021-04-21,Wednesday,April,no
2021-04-22,Thursday,April,no
2021-04-23,Friday,April,no
2021-04-24,Saturday,April,half
2021-04-25,Sunday,April,yes
2021-04-26,Monday,April,no
2021-04-27,Tuesday,April,no
2021-04-28,Wednesday,April,no
2021-04-29,Thursday,April,no
2021-04-30,Friday,April,no
2021-05-01,Saturday,May,half
2021-05-02,Sunday,May,yes
2021-05-03,Monday,May,no
2021-05-04,Tuesday,May,yes
2021-05-05,Wednesday,May,no
2021-05-06,Thursday,May,no
2021-05-07,Friday,May,no
2021-05-08,Saturday,May,half
2021-05-09,Sunday,May,yes
