Date,Renewable Generation [GWh],Energy Source
2021-06-24 12:00:00,2.84,Biomass
2021-06-24 13:00:00,2.90,Biomass
2021-06-24 14:00:00,3.07,Biomass
2021-06-24 15:00:00,3.17,Biomass
2021-06-24 16:00:00,3.17,Biomass
2021-06-24 17:00:00,3.13,Biomass
2021-06-24 18:00:00,3.14,Biomass
2021-06-24 19:00:00,3.23,Biomass
2021-06-24 20:00:00,3.22,Biomass
2021-06-24 21:00:00,3.21,Biomass
2021-06-24 22:00:00,3.15,Biomass
2021-06-24 23:00:00,2.99,Biomass
2021-06-25 00:00:00,2.69,Biomass
2021-06-25 01:00:00,2.60,Biomass
2021-06-25 02:00:00,2.55,Biomass
2021-06-25 03:00:00,2.49,Biomass
2021-06-25 04:00:00,2.46,Biomass
2021-06-25 05:00:00,2.38,Biomass
2021-06-25 06:00:00,2.44,Biomass
2021-06-25 07:00:00,2.73,Biomass
2021-06-25 08:00:00,2.72,Biomass
2021-06-25 09:00:00,2.89,Biomass
2021-06-25 10:00:00,2.93,Biomass
2021-06-25 11:00:00,2.98,Biomass
2021-06-25 12:00:00,2.97,Biomass
2021-06-25 13:00:00,2.97,Biomass
2021-06-25 14:00:00,3.02,Biomass
2021-06-25 15:00:00,3.07,Biomass
2021-06-25 16:00:00,3.04,Biomass
2021-06-25 17:00:00,3.08,Biomass
2021-06-25 18:00:00,3.12,Biomass
2021-06-25 19:00:00,3.21,Biomass
2021-06-25 20:00:00,3.21,Biomass
2021-06-25 21:00:00,3.10,Biomass
2021-06-25 22:00:00,2.90,Biomass
2021-06-25 23:00:00,2.64,Biomass
2021-06-26 00:00:00,2.44,Biomass
2021-06-26 01:00:00,2.35,Biomass
2021-06-26 02:00:00,2.29,Biomass
2021-06-26 03:00:00,2.22,Biomass
2021-06-26 04:00:00,2.19,Biomass
2021-06-26 05:00:00,2.10,Biomass
2021-06-26 06:00:00,2.00,Biomass
2021-06-26 07:00:00,1.96,Biomass
2021-06-26 08:00:00,1.88,Biomass
2021-06-26 09:00:00,1.77,Biomass
2021-06-26 10:00:00,1.71,Biomass
2021-06-26 11:00:00,1.64,Biomass
2021-06-26 12:00:00,1.59,Biomass
2021-06-26 13:00:00,1.58,Biomass
2021-06-26 14:00:00,1.61,Biomass
2021-06-26 15:00:00,1.68,Biomass
2021-06-26 16:00:00,1.78,Biomass
2021-06-26 17:00:00,1.92,Biomass
2021-06-26 18:00:00,2.08,Biomass
2021-06-26 19:00:00,2.25,Biomass
2021-06-26 20:00:00,2.24,Biomass
2021-06-26 21:00:00,2.25,Biomass
2021-06-26 22:00:00,2.26,Biomass
2021-06-26 23:00:00,2.18,Biomass
2021-06-27 00:00:00,2.04,Biomass
2021-06-27 01:00:00,1.88,Biomass
2021-06-27 02:00:00,1.76,Biomass
2021-06-27 03:00:00,1.66,Biomass
2021-06-27 04:00:00,1.64,Biomass
2021-06-27 05:00:00,1.59,Biomass
